2024-12-20 10:44:07,029 INFO    MainThread:45631 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_setup.py:_flush():76] Configure stats pid to 45631
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_setup.py:_flush():76] Loading settings from /Users/sanketdesai/.config/wandb/settings
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_setup.py:_flush():76] Loading settings from /Users/sanketdesai/Documents/irl/wandb/settings
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'reward.py', 'program': '/Users/sanketdesai/Documents/irl/reward.py'}
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_init.py:_log_setup():507] Logging user logs to /Users/sanketdesai/Documents/irl/wandb/offline-run-20241220_104407-mmb45z81/logs/debug.log
2024-12-20 10:44:07,030 INFO    MainThread:45631 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/sanketdesai/Documents/irl/wandb/offline-run-20241220_104407-mmb45z81/logs/debug-internal.log
2024-12-20 10:44:07,031 INFO    MainThread:45631 [wandb_init.py:init():547] calling init triggers
2024-12-20 10:44:07,031 INFO    MainThread:45631 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'exp_name': 'reward', 'seed': 1, 'cuda': False, 'run_name': 'reward__1__1734709437', 'load_from_cache_file': False, 'deepspeed': True, 'print_sample_output_freq': 220, 'run_eval': True, 'eps': 1e-05, 'lr': 3e-06, 'optimizer': 'adamw', 'scheduler': 'cosine', 'warm_up_steps': 0, 'world_size': 1, 'num_train_epochs': 1, 'num_updates': 11604, 'gradient_accumulation_steps': 8, 'local_micro_batch_size': 1, 'total_episodes': 92832, 'micro_batch_size': 1, 'local_batch_size': 8, 'batch_size': 8, 'local_eval_batch_size': 1, 'base_model': 'EleutherAI/pythia-160m', 'query_dataset': 'vwxyzjn/summarize_from_feedback_tldr_3_filtered_oai_preprocessing_1706381144', 'reward_model_path': '', 'sft_model_path': 'EleutherAI/pythia-160m', 'label_dataset': 'vwxyzjn/summarize_from_feedback_oai_preprocessing_1706381144', 'track': True, 'wandb_project_name': 'tldr_summarize', 'wandb_entity': None, 'push_to_hub': False, 'hf_entity': None, 'hf_repo_id': None, 'hf_repo_revision': None, 'hf_repo_url': None, 'output_dir': 'models/EleutherAI/pythia-160m/reward_model_1'}
2024-12-20 10:44:07,031 INFO    MainThread:45631 [wandb_init.py:init():596] starting backend
2024-12-20 10:44:07,032 INFO    MainThread:45631 [wandb_init.py:init():600] setting up manager
2024-12-20 10:44:07,036 INFO    MainThread:45631 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-12-20 10:44:07,041 INFO    MainThread:45631 [wandb_init.py:init():606] backend started and connected
2024-12-20 10:44:07,052 INFO    MainThread:45631 [wandb_init.py:init():703] updated telemetry
2024-12-20 10:44:07,053 INFO    MainThread:45631 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2024-12-20 10:44:07,061 INFO    MainThread:45631 [wandb_init.py:init():787] starting run threads in backend
2024-12-20 10:44:08,550 INFO    MainThread:45631 [wandb_run.py:_console_start():2155] atexit reg
2024-12-20 10:44:08,550 INFO    MainThread:45631 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2024-12-20 10:44:08,550 INFO    MainThread:45631 [wandb_run.py:_redirect():2075] Wrapping output streams.
2024-12-20 10:44:08,550 INFO    MainThread:45631 [wandb_run.py:_redirect():2100] Redirects installed.
2024-12-20 10:44:08,551 INFO    MainThread:45631 [wandb_init.py:init():828] run started, returning control to user process
2024-12-20 10:44:08,571 INFO    MainThread:45631 [wandb_run.py:_tensorboard_callback():1430] tensorboard callback: runs/reward__1__1734709437, True
